Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
Fudan University / Shanghai JiaoTong University / RNACure Biopharma,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; LNP-encapsulated mRNA cocktail encoding RBD,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
GeneOne Life Science / Houston Methodist,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,mRNA; (GLS-3000),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/5/2021
Gennova,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,"Self-amplifying
  RNA",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/15/2020
"Globe Biotech Limited, Bangladesh",Vaccine,RNA-based vaccine,Pre-clinical,Phase I/II protocol submitted to Bangladesh Medical Research Council (BMRC) on 1/17/2021 for approval to begin clinical trials,D614G variant LNP-encapsulated mRNA; (Bangavax),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/18/2021
"Greenlight Biosciences
",Vaccine,RNA-based vaccine,Pre-clinical,Unknown,"mRNA
",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/12/2020
"IDIBAPS- Hospital Clinic, Spain",Vaccine,RNA-based vaccine,Pre-clinical,Unknown,mRNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/1/2020
"Infectious Disease Research Institute/ Amyris, Inc.",Vaccine,RNA-based vaccine,Pre-clinical,Phase I expected to begin mid-2021,saRNA formulated in a NLC,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
Max-Planck Institute of Colloids and Interfaces,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,LNP-encapsulated mRNA encoding S,,KHAN-1 Technology Transfer Fund I GmbH & Co KG,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
"RNAimmune, Inc.",Vaccine,RNA-based vaccine,Pre-clinical,Unknown,RNA; several mRNA candidates,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
Sanofi Pasteur/ Translate Bio,Vaccine,RNA-based vaccine,Pre-clinical,Pre-clinical results released October 2020,"LNP-mRNA
",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2/22/2021
Selcuk University,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,mRNA,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Ziphius Therapeutics/ Ghent University,Vaccine,RNA-based vaccine,Pre-clinical,Unknown,"RNA; ZIP-1642, vaccine consists of a combination of mRNA molecules, encoding multiple SARS-CoV-2 antigens",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
Medicago Inc.,Vaccine,Virus-like particle,Phase II/III,Phase II part of Phase II/III trial dosed December 2020; Phase II/III began recruiting November 2020; Phase I interim results released November 2020; Phase I began July 2020,VLP; plant-derived VLP adjuvanted with GSK or Dynavax adjuvants; (CoVLP),"NCT04450004, NCT04636697, NCT04662697",Unknown,medRxiv (https://www.medrxiv.org/content/10.1101/2020.11.04.20226282v1.full),"Same platform as vaccine candidates for flu, rotavirus, norovirus, West Nile virus, and cancer",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/31/2021
Serum Institute of India/ Accelagen Pty/ SpyBiotech,Vaccine,Virus-like particle,Phase I/II,Phase I of follow up Phase I/II clinical trial adjuvanted with CpG 1018 dosed December 2020; Phase I/II began September 2020,RBD SARS-CoV-2 HBsAg VLP vaccine,"ACTRN12620000817943, ACTRN12620001308987",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/31/2021
Arizona State University ,Vaccine,Virus-like particle,Pre-clinical,Unknown,"Myxoma virus co-expressing S, M, N and E proteins ",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2/12/2021
Arizona State University ,Vaccine,Virus-like particle,Pre-clinical,Unknown,"Plasmid driven production of virus like particles (VLPs) containing S, M, N and E proteins of SARS-CoV-2",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,2/12/2021
"ARTES Biotechnology
",Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP; eVLP,,Unknown,,"Same platform as vaccine candidates for malaria
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
Bezmialem Vakif University,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/21/2020
Doherty Institute,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP; unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/8/2020
Icosavax,Vaccine,Virus-like particle,Pre-clinical,Phase I expected to begin mid-2021; Pre-clinical results published October 2020,VLP displaying the SARS-CoV-2 receptor-binding domain (RBD); (IVX-411),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/18/2020
Imophoron Ltd / Bristol University's Max Planck Centre,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP; ADDomerTM multiepitope display,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
IrsiCaixa AIDS Research/ IRTA-CReSA/ Barcelona Supercomputing Centre/ Grifols,Vaccine,Virus-like particle,Pre-clinical,Unknown,S protein integrated in HIV VLPs,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/23/2020
Mahidol University/ The Government Pharmaceutical Organization (GPO)/ Siriraj Hospital,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP + Adjuvant,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
Max-Planck Institute for Dynamics of Complex Technical Systems,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
"Medicago
  Inc./ GSK",Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP (CoVLP)+ Adjuvant,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/14/2020
Medicago Inc./ Dynavax,Vaccine,Virus-like particle,Pre-clinical,Phase I to start mid-July 2020,VLP (CoVLP)+ Adjuvant (CpG 1018),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/10/2020
Middle East Technical University,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
"Navarrabiomed, Oncoimmunology group",Vaccine,Virus-like particle,Pre-clinical,Unknown,"Virus-like particles, lentivirus, and baculovirus vehicles",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/1/2020
OSIVAX,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLP (COVID-19 and SARS1),,European Innovation Council (EIC),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Saiba GmbH,Vaccine,Virus-like particle,Pre-clinical,Unknown,"VLP; virus-like particle, based on RBD displayed on virus-like particle",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Tampere University,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLPs produced in BEVS,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
University of Manitoba,Vaccine,Virus-like particle,Pre-clinical,Unknown,Virus-like particle-based dendritic cell-targeting vaccine,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
University of Sao Paulo,Vaccine,Virus-like particle,Pre-clinical,Unknown,VLPs peptides/whole virus,,Unknown,,,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/19/2020
VBI Vaccines / National Research Council of Canada/ Therapure Biomanufacturing,Vaccine,Virus-like particle,Pre-clinical,Phase I/II trial expected to begin March 2021,"Enveloped virus-like particle (eVLP): Pan-coronavirus vaccine candidate, targeting COVID-19, SARS, and MERS, spike protein (VBI-2900)",NCT04773665,Unknown,,"Same platform as vaccine candidates for glioblastoma, cytomegalovirus, and Zika",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,3/2/2021
AbVision,Vaccine,Unknown,Pre-clinical,Unknown,AVI-205,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/13/2020
Adeleke University,Vaccine,Unknown,Pre-clinical,Unknown,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
"Catholic University/ Millennium Institute of Immunology and Immunotherapy/ Technological Consortium in Clinical Molecular Biomedicine, Chile",Vaccine,Unknown,Pre-clinical,Unknown,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/23/2020
Codiak BioSciences/ Ragon Institute,Vaccine,Unknown,Pre-clinical,Unknown,exoVACC exome platform,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/4/2020
Emergex Vaccines/ George Mason University's National Center for Biodefense and Infectious Diseases (NCBID),Vaccine,Unknown,Pre-clinical,Unknown,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/24/2020
HaloVax (Voltron Therapeutics) / The Vaccine & Immunotherapy Center at the Massachusetts General Hospital,Vaccine,Unknown,Pre-clinical,Animal study results by October 2020,"Self-assembling vaccine (fusion protein of a heat shock protein and Avidin, with biotinylated immunogenic peptides)",,Analog Devices Foundation,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/21/2020
ISR Immune System Regulation,Vaccine,Unknown,Pre-clinical,"Animal study results expected in Q2 2020, Phase I begins Q4 2020",ISR-50,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
NidoVax,Vaccine,Unknown,Pre-clinical,Unknown,unknown; IMT504 technology,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/18/2020
"Oragenics (Noachis Terra)/ Aragen Bioscience
",Vaccine,Unknown,Pre-clinical,Phase I expected to start in early 2021,"TerraCoV2
",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/28/2020
"OSE
  Immunotherapeutics",Vaccine,Unknown,Pre-clinical,"Clinical
  trials expected to begin end of 2020/early 2021; Pre-clinical results
  released in August 2020",T cell-based vaccine platform (CoVepiT),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
Precision Vaccines Program at Boston Children's Hospital,Vaccine,Unknown,Pre-clinical,Unknown,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Tulane University,Vaccine,Unknown,Pre-clinical,Unknown,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"United
  Biomedical (UBI)/ c19",Vaccine,Unknown,Pre-clinical,,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/2/2020
Vault Pharma/ University of California Los Angeles,Vaccine,Unknown,Pre-clinical,Unknown,nanoparticles (vaults) as second-line defense of infection,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/17/2020
Vir Biotechnology / GSK,Vaccine,Unknown,Pre-clinical,Unknown,Unknown,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Vivaldi Biosciences/ Esco Aster Pte Ltd,Vaccine,Unknown,Pre-clinical,Unknown,Chimeric vaccine (coronavirus and influenza),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/2/2020
Farmacológicos Veterinarios SAC (FARVET SAC),Vaccine,Replicating bacterial vector,Pre-clinical,Unknown,Oral Salmonella enteritidis (3934Vac) based protein expression system of RBD,,Unknown,,Same platform as multiple vaccine candidates,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/19/2021
"University of California, Los Angeles (Horwitz Lab)",Vaccine,Replicating bacterial vector,Pre-clinical,Unknown,Recombinant LVS ΔcapB – vectored vaccine expressing multiple SARS-CoV-2 antigens,,Unknown,,Same platform as vaccines against select agents and emerging pathogens,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/10/2020